time,size,protocol,src_IP,dst_IP,src_port,dst_port,flags,attack_type
0.000000,44,,,,,,,unknown
0.000015,44,,,,,,,unknown
0.000671,44,UDP,10.0.0.10,10.0.0.1,2210,123,,udp_ddos
0.000680,72,ICMP,10.0.0.1,10.0.0.10,,,,udp_ddos
0.007119,44,UDP,10.0.0.10,10.0.0.1,2211,123,,udp_ddos
0.007133,72,ICMP,10.0.0.1,10.0.0.10,,,,udp_ddos
0.007169,44,UDP,10.0.0.10,10.0.0.1,2212,123,,udp_ddos
0.007173,72,ICMP,10.0.0.1,10.0.0.10,,,,udp_ddos
0.010948,44,UDP,10.0.0.10,10.0.0.1,2213,123,,udp_ddos
0.010955,72,ICMP,10.0.0.1,10.0.0.10,,,,udp_ddos
0.015992,44,,,,,,,unknown
0.016006,44,,,,,,,unknown
0.016280,44,UDP,10.0.0.10,10.0.0.1,2214,123,,udp_ddos
0.016288,72,ICMP,10.0.0.1,10.0.0.10,,,,udp_ddos
0.016743,44,UDP,10.0.0.11,10.0.0.1,2210,123,,udp_ddos
0.016749,72,ICMP,10.0.0.1,10.0.0.11,,,,udp_ddos
0.019748,44,UDP,10.0.0.10,10.0.0.1,2215,123,,udp_ddos
0.019756,72,ICMP,10.0.0.1,10.0.0.10,,,,udp_ddos
0.019782,44,UDP,10.0.0.10,10.0.0.1,2216,123,,udp_ddos
0.020172,44,UDP,10.0.0.11,10.0.0.1,2211,123,,udp_ddos
0.020177,72,ICMP,10.0.0.1,10.0.0.11,,,,udp_ddos
0.025073,44,UDP,10.0.0.10,10.0.0.1,2217,123,,udp_ddos
0.025097,44,UDP,10.0.0.11,10.0.0.1,2212,123,,udp_ddos
0.025101,72,ICMP,10.0.0.1,10.0.0.11,,,,udp_ddos
0.026441,44,UDP,10.0.0.11,10.0.0.1,2213,123,,udp_ddos
0.026446,72,ICMP,10.0.0.1,10.0.0.11,,,,udp_ddos
0.026467,44,UDP,10.0.0.10,10.0.0.1,2218,123,,udp_ddos
0.030751,44,UDP,10.0.0.11,10.0.0.1,2214,123,,udp_ddos
0.030761,72,ICMP,10.0.0.1,10.0.0.11,,,,udp_ddos
0.030784,44,UDP,10.0.0.10,10.0.0.1,2219,123,,udp_ddos
0.030801,44,UDP,10.0.0.11,10.0.0.1,2215,123,,udp_ddos
0.030803,72,ICMP,10.0.0.1,10.0.0.11,,,,udp_ddos
0.034071,44,UDP,10.0.0.11,10.0.0.1,2216,123,,udp_ddos
0.034095,44,UDP,10.0.0.10,10.0.0.1,2220,123,,udp_ddos
0.035073,44,,,,,,,unknown
0.035084,44,,,,,,,unknown
0.035591,44,UDP,10.0.0.12,10.0.0.1,2210,123,,udp_ddos
0.035598,72,ICMP,10.0.0.1,10.0.0.12,,,,udp_ddos
0.036424,44,UDP,10.0.0.11,10.0.0.1,2217,123,,udp_ddos
0.036445,44,UDP,10.0.0.10,10.0.0.1,2221,123,,udp_ddos
0.042769,44,UDP,10.0.0.11,10.0.0.1,2218,123,,udp_ddos
0.042792,44,UDP,10.0.0.10,10.0.0.1,2222,123,,udp_ddos
0.042804,44,UDP,10.0.0.12,10.0.0.1,2211,123,,udp_ddos
0.042808,72,ICMP,10.0.0.1,10.0.0.12,,,,udp_ddos
0.042824,44,UDP,10.0.0.11,10.0.0.1,2219,123,,udp_ddos
0.042839,44,UDP,10.0.0.12,10.0.0.1,2212,123,,udp_ddos
0.042842,72,ICMP,10.0.0.1,10.0.0.12,,,,udp_ddos
0.046871,44,UDP,10.0.0.11,10.0.0.1,2220,123,,udp_ddos
0.046896,44,UDP,10.0.0.10,10.0.0.1,2223,123,,udp_ddos
0.046912,44,UDP,10.0.0.12,10.0.0.1,2213,123,,udp_ddos
0.046916,72,ICMP,10.0.0.1,10.0.0.12,,,,udp_ddos
0.050896,44,UDP,10.0.0.10,10.0.0.1,2224,123,,udp_ddos
0.051285,44,UDP,10.0.0.11,10.0.0.1,2221,123,,udp_ddos
0.051306,44,UDP,10.0.0.12,10.0.0.1,2214,123,,udp_ddos
0.051310,72,ICMP,10.0.0.1,10.0.0.12,,,,udp_ddos
0.053638,44,UDP,10.0.0.10,10.0.0.1,2225,123,,udp_ddos
0.053926,44,UDP,10.0.0.11,10.0.0.1,2222,123,,udp_ddos
0.053943,44,UDP,10.0.0.12,10.0.0.1,2215,123,,udp_ddos
0.053947,72,ICMP,10.0.0.1,10.0.0.12,,,,udp_ddos
0.053963,44,UDP,10.0.0.10,10.0.0.1,2226,123,,udp_ddos
0.053975,44,UDP,10.0.0.11,10.0.0.1,2223,123,,udp_ddos
0.053987,44,UDP,10.0.0.12,10.0.0.1,2216,123,,udp_ddos
0.055690,44,UDP,10.0.0.12,10.0.0.1,2217,123,,udp_ddos
0.055857,44,UDP,10.0.0.11,10.0.0.1,2224,123,,udp_ddos
0.055874,44,UDP,10.0.0.10,10.0.0.1,2227,123,,udp_ddos
